CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2024;Reclassements juillet 2024
57412;Longeville-lès-Metz;57;Grand Est;B2;B1
57441;Manom;57;Grand Est;B2;B1
57474;Mondelange;57;Grand Est;B2;B1
57487;Moulins-lès-Metz;57;Grand Est;B2;B1
57663;Talange;57;Grand Est;B2;B1
57666;Terville;57;Grand Est;B2;B1
57683;Uckange;57;Grand Est;B2;B1
57731;Volmerange-les-Mines;57;Grand Est;B2;B1
57764;Zoufftgen;57;Grand Est;C;B1
59071;Bersée;59;Hauts-de-France;B2;B1
59090;Bondues;59;Hauts-de-France;B1;A
59107;Bray-Dunes;59;Hauts-de-France;B2;B1
59124;Camphin-en-Pévèle;59;Hauts-de-France;B2;B1
59173;Deûlémont;59;Hauts-de-France;B2;B1
59196;Ennetières-en-Weppes;59;Hauts-de-France;B2;B1
59208;Escobecques;59;Hauts-de-France;B2;B1
59222;Faumont;59;Hauts-de-France;B2;B1
59371;Le Maisnil;59;Hauts-de-France;B2;B1
59398;Mérignies;59;Hauts-de-France;B2;B1
59458;Péronne-en-Mélantois;59;Hauts-de-France;B2;B1
59462;Phalempin;59;Hauts-de-France;B2;B1
59487;Radinghem-en-Weppes;59;Hauts-de-France;B2;B1
59586;Templeuve-en-Pévèle;59;Hauts-de-France;B2;B1
59588;Téteghem-Coudekerque-Village;59;Hauts-de-France;B2;B1
59600;Tourmignies;59;Hauts-de-France;B2;B1
59636;Wambrechies;59;Hauts-de-France;B1;A
59638;Wannehain;59;Hauts-de-France;B2;B1
59643;Warneton;59;Hauts-de-France;B2;B1
59653;Wavrin;59;Hauts-de-France;B2;B1
60022;Apremont;60;Hauts-de-France;B2;B1
60028;Aumont-en-Halatte;60;Hauts-de-France;B2;A
60045;Barbery;60;Hauts-de-France;C;B1
60047;Baron;60;Hauts-de-France;B2;B1
60056;Beaurepaire;60;Hauts-de-France;C;B1
60087;Borest;60;Hauts-de-France;B2;B1
60100;Brasseuse;60;Hauts-de-France;C;B1
60141;Chantilly;60;Hauts-de-France;A;Abis
60170;Courteuil;60;Hauts-de-France;B2;A
60213;Ermenonville;60;Hauts-de-France;B2;B1
60226;Ève;60;Hauts-de-France;B2;B1
60238;Fleurines;60;Hauts-de-France;B2;B1
60241;Fontaine-Chaalis;60;Hauts-de-France;B2;B1
60391;Maysel;60;Hauts-de-France;C;B1
60413;Montagny-Sainte-Félicité;60;Hauts-de-France;B2;B1
60415;Montépilloy;60;Hauts-de-France;C;B1
60421;Mont-l'Évêque;60;Hauts-de-France;C;B1
60422;Montlognon;60;Hauts-de-France;B2;B1
60432;Mortefontaine;60;Hauts-de-France;B2;B1
60446;Nanteuil-le-Haudouin;60;Hauts-de-France;B2;B1
60494;Plailly;60;Hauts-de-France;B2;B1
60500;Le Plessis-Belleville;60;Hauts-de-France;B2;B1
60505;Pontarmé;60;Hauts-de-France;B2;B1
60525;Raray;60;Hauts-de-France;C;B1
60619;Silly-le-Long;60;Hauts-de-France;B2;B1
60631;Thiers-sur-Thève;60;Hauts-de-France;B2;B1
60666;Ver-sur-Launette;60;Hauts-de-France;B2;B1
60671;Versigny;60;Hauts-de-France;B2;B1
60682;Villers-Saint-Frambourg-Ognon;60;Hauts-de-France;C;B1
62160;Boulogne-sur-Mer;62;Hauts-de-France;B2;B1
62193;Calais;62;Hauts-de-France;B2;B1
62201;Camiers;62;Hauts-de-France;B2;B1
62491;Laventie;62;Hauts-de-France;C;B1
62774;Sangatte;62;Hauts-de-France;B2;B1
62893;Wimereux;62;Hauts-de-France;B2;B1
63070;Ceyrat;63;Auvergne-Rhône-Alpes;B2;B1
63307;Romagnat;63;Auvergne-Rhône-Alpes;B2;B1
63308;Royat;63;Auvergne-Rhône-Alpes;B2;B1
64249;Guéthary;64;Nouvelle-Aquitaine;B1;A
66016;Banyuls-sur-Mer;66;Occitanie;B2;B1
66028;Cabestany;66;Occitanie;B2;B1
66053;Collioure;66;Occitanie;B2;B1
66148;Port-Vendres;66;Occitanie;B2;B1
66189;Saleilles;66;Occitanie;B2;B1
66212;Torreilles;66;Occitanie;B2;B1
67021;Barr;67;Grand Est;B2;B1
67028;Benfeld;67;Grand Est;B2;B1
67065;Breuschwickersheim;67;Grand Est;C;B1
67097;Dingsheim;67;Grand Est;C;B1
67106;Drusenheim;67;Grand Est;B2;B1
67108;Duppigheim;67;Grand Est;B2;B1
67128;Ernolsheim-Bruche;67;Grand Est;B2;B1
