CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
44178;Saint-Mars-de-Coutais;44;Pays de la Loire;C;B2
44223;Geneston;44;Pays de la Loire;C;B2
45028;Beaugency;45;Centre-Val de Loire;C;B2
45082;Châteauneuf-sur-Loire;45;Centre-Val de Loire;C;B2
45146;La Ferté-Saint-Aubin;45;Centre-Val de Loire;B2;B1
45173;Jargeau;45;Centre-Val de Loire;C;B2
45203;Meung-sur-Loire;45;Centre-Val de Loire;C;B2
45208;Montargis;45;Centre-Val de Loire;B2;B1
46102;Figeac;46;Occitanie;C;B2
49130;Écuillé;49;Pays de la Loire;C;B2
49176;Le Lion-d'Angers;49;Pays de la Loire;C;B2
49307;Loire-Authion;49;Pays de la Loire;C;B2
49328;Saumur;49;Pays de la Loire;C;B2
49339;Soulaire-et-Bourg;49;Pays de la Loire;C;B2
50002;Agneaux;50;Normandie;B2;B1
50041;La Hague;50;Normandie;C;B2
50082;Bricquebec-en-Cotentin;50;Normandie;C;B2
50099;Carentan-les-Marais;50;Normandie;C;B2
50139;Condé-sur-Vire;50;Normandie;C;B2
50615;Valognes;50;Normandie;C;B2
54184;Essey-lès-Nancy;54;Grand Est;B2;B1
54261;Herserange;54;Grand Est;B2;B1
54339;Malzéville;54;Grand Est;B2;B1
54382;Mont-Saint-Martin;54;Grand Est;B2;B1
54526;Tomblaine;54;Grand Est;B2;B1
56036;Caudan;56;Bretagne;B2;B1
56062;Gâvres;56;Bretagne;B2;B1
56067;Grand-Champ;56;Bretagne;C;B2
56087;Île-aux-Moines;56;Bretagne;B2;B1
56088;Île-d'Arz;56;Bretagne;B2;B1
56143;Muzillac;56;Bretagne;C;B2
56166;Plouay;56;Bretagne;C;B2
56185;Quéven;56;Bretagne;B2;B1
57001;Aboncourt;57;Grand Est;C;B2
57012;Algrange;57;Grand Est;B2;B1
57067;Bertrange;57;Grand Est;B2;B1
57072;Bettelainville;57;Grand Est;C;B2
57102;Bousse;57;Grand Est;B2;B1
57117;Buding;57;Grand Est;C;B2
57118;Budling;57;Grand Est;C;B2
57179;Distroff;57;Grand Est;C;B2
57191;Elzange;57;Grand Est;C;B2
57242;Gandrange;57;Grand Est;B2;B1
57331;Hombourg-Budange;57;Grand Est;C;B2
57345;Inglange;57;Grand Est;C;B2
57358;Kédange-sur-Canner;57;Grand Est;C;B2
57359;Kemplich;57;Grand Est;C;B2
57367;Klang;57;Grand Est;C;B2
57368;Knutange;57;Grand Est;B2;B1
57370;Kœnigsmacker;57;Grand Est;C;B2
57426;Luttange;57;Grand Est;C;B2
57437;Malling;57;Grand Est;C;B2
57464;Metzeresche;57;Grand Est;C;B2
57465;Metzervisse;57;Grand Est;C;B2
57476;Monneren;57;Grand Est;C;B2
57508;Nilvange;57;Grand Est;B2;B1
57531;Oudrenne;57;Grand Est;C;B2
57582;Richemont;57;Grand Est;B2;B1
57591;Rombas;57;Grand Est;B2;B1
57602;Rurange-lès-Thionville;57;Grand Est;C;B2
57689;Valmestroff;57;Grand Est;C;B2
57704;Veckring;57;Grand Est;C;B2
57733;Volstroff;57;Grand Est;C;B2
57767;Stuckange;57;Grand Est;C;B2
59051;La Bassée;59;Hauts-de-France;B2;B1
59067;Bergues;59;Hauts-de-France;B2;B1
59094;Bourbourg;59;Hauts-de-France;B2;B1
59122;Cambrai;59;Hauts-de-France;B2;B1
59131;Cappelle-la-Grande;59;Hauts-de-France;B2;B1
59303;Herlies;59;Hauts-de-France;B2;B1
59320;Illies;59;Hauts-de-France;B2;B1
59359;Loon-Plage;59;Hauts-de-France;B2;B1
59383;Marly;59;Hauts-de-France;B2;B1
59449;Orchies;59;Hauts-de-France;B2;B1
59526;Saint-Amand-les-Eaux;59;Hauts-de-France;B2;B1
59544;Saint-Saulve;59;Hauts-de-France;B2;B1
60560;Rully;60;Hauts-de-France;C;B1
60667;Verberie;60;Hauts-de-France;C;B1
61001;Alençon;61;Normandie;C;B2
